name,answer,category,level
"Giải thích sự khác biệt giữa var, let và const trong JavaScript?","var có **phạm vi hàm** và được **hoisted** hoàn toàn. let có **phạm vi khối** và được hoisted một phần (Temporal Dead Zone). const cũng có **phạm vi khối** và ngăn chặn **gán lại** biến (mặc dù thuộc tính của object vẫn có thể thay đổi). Nên dùng **const** theo mặc định, và **let** khi cần gán lại giá trị.",technical,junior
"REST API và GraphQL khác nhau như thế nào?","REST sử dụng **nhiều endpoint** và thường dẫn đến **over-fetching** hoặc under-fetching dữ liệu. GraphQL sử dụng **một endpoint duy nhất** và cho phép **client yêu cầu chính xác dữ liệu cần thiết**, giảm số lượng request và tối ưu băng thông. GraphQL phù hợp cho ứng dụng phức tạp; REST đơn giản hơn cho các thao tác CRUD cơ bản.",technical,mid
"Bạn xử lý xung đột trong nhóm như thế nào?","Tôi **lắng nghe tích cực** tất cả các bên và xác định **nguyên nhân gốc rễ** của xung đột. Tôi ưu tiên **giải pháp dựa trên dữ liệu, khách quan** hơn là ý kiến cá nhân. Trọng tâm luôn là giao tiếp, đồng cảm và điều chỉnh nhóm hướng tới **mục tiêu chung của dự án**.",behavioral,all
"Kể về một lần bạn thất bại trong dự án và bạn học được gì từ đó?","Tôi từng **đánh giá thấp thời gian testing** cho Dự án X, dẫn đến trзадержка phát hành cuối cùng. Tôi học được tầm quan trọng của **ước lượng thực tế**, bao gồm thời gian dự phòng cho các vấn đề không mong đợi, và giá trị của **testing sớm và liên tục**. Sau đó tôi đã triển khai các phương pháp TDD (Test-Driven Development) nghiêm ngặt hơn.",behavioral,mid
"Giải thích khái niệm Microservices và khi nào nên sử dụng?","Microservices là kiến trúc chia ứng dụng thành **các dịch vụ nhỏ, độc lập** có thể triển khai riêng biệt. Nên dùng khi nhóm lớn, yêu cầu **mở rộng độc lập** cho các thành phần khác nhau, hoặc cần đa dạng công nghệ. Đánh đổi chính là **độ phức tạp tăng** trong hạ tầng và giám sát.",technical,senior
"Bạn cập nhật kiến thức về công nghệ mới như thế nào?","Tôi thường xuyên đọc blog kỹ thuật (ví dụ: Medium, Dev.to), theo dõi các chuyên gia hàng đầu trong ngành, và dành **2-3 giờ mỗi tuần** cho học tập chính thức qua các khóa học online. Tôi đảm bảo áp dụng thực tế bằng cách **xây dựng các dự án phụ nhỏ** hoặc đóng góp cho các dự án open-source liên quan.",soft_skills,all
"Database indexing là gì và khi nào nên tạo index?","Index là cấu trúc dữ liệu cho phép database **nhanh chóng định vị dữ liệu** mà không cần quét toàn bộ bảng, tăng tốc đáng kể **thao tác đọc**. Index nên được tạo trên các cột được sử dụng trong **`WHERE` clause, `JOIN`, và `ORDER BY`**. Đánh đổi là **thao tác ghi** chậm hơn (INSERT/UPDATE) và chi phí lưu trữ tăng.",technical,mid
"Bạn ưu tiên công việc như thế nào khi đối mặt với nhiều deadline?","Tôi chủ yếu sử dụng **Ma trận Eisenhower** (Khẩn cấp/Quan trọng) để phân loại và ưu tiên công việc. Tôi duy trì **giao tiếp cởi mở với các bên liên quan** về ưu tiên và rủi ro tiềm ẩn. Công việc được chia nhỏ thành các phần nhỏ hơn, và tôi luôn đảm bảo có **thời gian dự phòng** cho các vấn đề không mong đợi.",soft_skills,all
"CI/CD là gì và lợi ích của nó?","CI/CD là viết tắt của **Continuous Integration** và **Continuous Deployment/Delivery**. CI có nghĩa là các developer merge code thường xuyên vào repository chung, kích hoạt **automated tests**. CD tự động hóa quá trình triển khai code lên production. Lợi ích bao gồm **chu kỳ phát hành nhanh hơn**, giảm lỗi thủ công, và **phát hiện bug sớm**.",technical,mid
"Bạn xử lý phản hồi tiêu cực từ quản lý như thế nào?","Tôi tiếp nhận phản hồi một cách chuyên nghiệp, **lắng nghe tích cực** mà không phòng thủ, và **đặt câu hỏi làm rõ** để hiểu đầy đủ vấn đề cụ thể. Tôi tập trung vào việc tạo **kế hoạch hành động cụ thể để cải thiện** và theo dõi thường xuyên để thể hiện tiến bộ. Tôi xem phản hồi tiêu cực như cơ hội để phát triển nghề nghiệp.",behavioral,all
"Docker và Virtual Machine khác nhau như thế nào?","Docker sử dụng **containerization** chia sẻ kernel của hệ điều hành host, nhẹ hơn và khởi động nhanh hơn. Virtual Machine chạy **hệ điều hành riêng** trên hypervisor, cô lập hoàn toàn nhưng nặng hơn. Docker phù hợp cho **microservices và CI/CD**, VM phù hợp khi cần **cô lập bảo mật cao** hoặc chạy nhiều OS khác nhau.",technical,mid
"Mô tả cách bạn debug một vấn đề phức tạp trong production?","Tôi bắt đầu bằng **thu thập logs và metrics** để xác định phạm vi vấn đề. Sau đó **tái tạo vấn đề** trong môi trường staging nếu có thể. Tôi sử dụng **binary search approach** để thu hẹp nguyên nhân, kiểm tra từng layer (network, database, application). Cuối cùng, tôi **document root cause** và tạo monitoring để phát hiện sớm trong tương lai.",technical,senior
"Bạn làm gì khi không đồng ý với quyết định kỹ thuật của team lead?","Tôi chuẩn bị **dữ liệu và lý lẽ kỹ thuật** để trình bày quan điểm của mình một cách khách quan. Tôi lắng nghe lý do của team lead và cố gắng hiểu góc nhìn của họ. Nếu sau khi thảo luận, quyết định vẫn giữ nguyên, tôi **tôn trọng và thực hiện** quyết định đó, đồng thời đề xuất các điểm checkpoint để đánh giá lại nếu cần.",behavioral,mid
"Git rebase và merge khác nhau như thế nào?","**Merge** tạo một commit mới kết hợp hai nhánh, giữ nguyên lịch sử của cả hai nhánh. **Rebase** di chuyển hoặc kết hợp các commit lên đầu nhánh khác, tạo lịch sử tuyến tính. Merge an toàn hơn cho **shared branches**, rebase tốt cho **feature branches** để giữ lịch sử sạch. Không nên rebase các commit đã push lên remote shared branch.",technical,junior
"Làm thế nào để tối ưu hiệu suất của một ứng dụng web?","Tôi bắt đầu bằng **profiling và monitoring** để xác định bottleneck. Các kỹ thuật bao gồm: **caching** (Redis, CDN), **database optimization** (indexing, query optimization), **code splitting và lazy loading**, **image optimization**, **minification và compression**. Tôi cũng sử dụng **CDN** cho static assets và **load balancing** cho traffic cao. Quan trọng là **đo lường trước và sau** mỗi optimization.",technical,senior
